id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
1,Afrihood Development Company,"Lagos, Nigeria",Nigeria,https://afrihood.com,hello@afrihood.com; hr@afrihood.com,hello / hr,Real-estate and infrastructure PropTech startup building marketplace and product platforms.,~4,LinkedIn,Full Stack Developer
2,AMD Solutions 007,"Abuja, Nigeria",Nigeria,https://www.amdsolutions007.com,info@amdsolutions007.com; hello@amdsolutions007.com,info / hello,Nigerian AI/automation and custom software agency.,1-20,LinkedIn,Software Developer
3,Aqqute Labs,"Port Harcourt, Nigeria",Nigeria,https://aqqute.com,hi@aqqute.com,general,"Port Harcourt digital agency for websites, apps, and digital storytelling.",~5,LinkedIn,Dynamic Generalist
4,Awari App / Lost in a City,"Lagos, Nigeria",Nigeria,https://linktr.ee/kkls.awari,info@awariapp.com; info@lostinlagos.com,info,"Lifestyle discovery app for businesses, events, and city experiences in Lagos/Abuja.",~13,Indeed,Mobile App Developer
5,Awarri,"Lagos, Nigeria",Nigeria,https://awarri.com,info@awarri.com,info,"AI company building multilingual African LLMs, data platforms, and robotics education products.",20-60,Indeed,Senior Frontend Developer
6,Bakkaz Information and Technology Ltd,"Lagos, Nigeria",Nigeria,https://bakkaz.com,info@bakkaz.com,info,Software and digital product studio building platforms alongside trading/investment arms.,5-20,Indeed,"Web Developer (ReactJs, NextJs, TypeScript)"
7,Belema Financial Technology,"Port Harcourt / Lagos, Nigeria",Nigeria,https://belemafintech.com,info@belemafintech.com,info,"Fintech providing payments, POS agency banking, switching/processing, and merchant services.",20-80,Indeed,Mobile Developer (Flutter)
8,Bema Integrated Services,"Lagos, Nigeria",Nigeria,,bemamarketing@bemamusic.com,marketing / hiring,Organization building software products around Christian music ministry and digital platforms.,5-30,LinkedIn,Wordpress AND MERN Full Stack Developer
9,Big Field Digital,"Ibadan, Nigeria",Nigeria,https://www.bigfielddigital.com,info@bigfielddigital.com,info,"Ibadan digital agency for mobile apps, web development, and digital marketing.",~5,LinkedIn,Web Developer
10,Bincom Dev Center,"Lagos, Nigeria",Nigeria,https://bincomdevcenter.com,bincomdevcenter@bincom.net,careers / training,ICT solutions and developer training center delivering web and mobile client projects.,~12,Indeed,Trainee Mobile App Developer
11,Boxvibe,"Port Harcourt, Nigeria",Nigeria,https://www.boxvibe.com,info@boxvibe.com,info,"Port Harcourt web design, software, and SEO agency.",1-10,Indeed,Web Designer
12,Brela Agency,"Port Harcourt, Nigeria",Nigeria,https://brela.agency,hello@brela.agency,hello,"Port Harcourt WordPress and digital agency for web, SEO, and software.",~5,LinkedIn,Web Developer
13,ByteWorks Technology Solutions,"Abuja, Nigeria",Nigeria,https://byteworks.com.ng,info@byteworks.com.ng,info,Software development company focused on revenue automation and enterprise engineering.,30-50,Indeed,Full Stack Software Developer (Java)
14,Centralelite Services,"Lagos, Nigeria",Nigeria,,centralelitedigitals@gmail.com,staffing partner,Tech/recruitment partner posting frontend and backend software engineer roles.,<50,Indeed,Frontend Software Engineer
15,CircleHQ Company,"Lagos, Nigeria",Nigeria,https://circlehqcompany.com,circlehqcompany@gmail.com,founder,"Small AI automation company building custom AI systems, chatbots, and ops tools for businesses.",~5,LinkedIn,Backend Developer
16,Cloud Technology Hub,"Abuja, Nigeria",Nigeria,https://cloudtechnologyhub.com,info@cloudtechnologyhub.com; careers@cloudtechnologyhub.com,info / careers,Nigerian software/tech hub hiring backend engineers.,11-50,Indeed,Senior Backend Engineer
17,Dantown,"Port Harcourt, Nigeria",Nigeria,https://godantown.com,info@godantown.com; support@godantown.com,info / support,Port Harcourt fintech/software startup hiring backend developers.,~32,Indeed,Backend Developer
18,EasyWin Lotto Ltd,"Lagos, Nigeria",Nigeria,https://easywin.ng,chinedu@easywin.ng,engineering contact,"Online sports betting, lotto, and casino platform hiring frontend/mobile engineers.",20-60,Indeed,Frontend Developer (Vue.js / React Native)
19,eHealth4everyone,"Abuja, Nigeria",Nigeria,https://ehealth4everyone.com,info@ehealth4everyone.com; recruitment@e4email.net,info / recruitment,"Digital health software enterprise building EMR, DHIS2, dashboards, and health data platforms.",~58,Indeed,Javascript Backend Developer (Node.JS)
20,Elonatech Nigeria Limited,"Lagos, Nigeria",Nigeria,https://elonatech.com.ng,info@elonatech.com.ng,info,"IT solutions company providing web development, digital services, and tech sales/support.",10-40,Indeed,Full Stack Software Developer
21,Escrow-Tech,"Lagos / Abuja, Nigeria",Nigeria,https://escrow-tech.co.uk,HR.Nigeria@escrow-tech.co.uk,hr,Building Carbon-Adjust clearing platform for real-time energy capacity and IoT load matching.,<50,LinkedIn,Senior Backend Engineer
22,Estility,"Lagos, Nigeria",Nigeria,https://estility.co,hr@estility.co; ceo@estility.co; support@estility.co,hr / ceo,Convenience and home-services platform connecting users with essential delivery and services.,<50,LinkedIn,Senior Software Engineer
23,Flux Creative Technologies,"Lagos, Nigeria",Nigeria,https://fluxcreativetech.com,info@fluxcreativetech.com; daisy@fluxcreativetech.com,info / hr,Product and engineering agency building web/mobile apps and AI systems for African founders.,5-20,LinkedIn,Product Manager (Internship)
24,INFINION Technologies,"Lagos, Nigeria",Nigeria,https://infinion.co,info@infinion.co; sales@infinion.co,info / sales,"Digital transformation firm offering custom software, cloud, DevOps, AI, and Microsoft solutions.",40-80,Indeed,Mobile Developer
25,InfoWARE Limited,"Lagos, Nigeria",Nigeria,https://infowarelimited.com,support@infowarelimited.com,support,Financial markets software company providing trading and business solutions for African institutions.,11-20,Indeed,Software Developer — Mobile Applications
26,Koloxo West Africa,"Lagos, Nigeria",Nigeria,https://koloxo.com,koloxo@koloxo.com,general,"Operates AI92, an AI-driven marketing automation and customer-engagement platform.",5-25,Indeed,Mobile App Developer
27,Korapay (Kora),"Lagos, Nigeria",Nigeria,https://www.korahq.com,support@korapay.com,support,Payment infrastructure for Africa offering plug-and-play payment solutions (verify headcount).,verify <100,LinkedIn,Senior Full-Stack Engineer
28,KTREX,"Abuja, Nigeria",Nigeria,https://ktrex.com.ng,info@ktrex.com.ng; hello@ktrex.com.ng,info / hello,Abuja digital agency for web and software services.,1-20,Indeed,Web Developer
29,Loctech Nigeria Limited,"Port Harcourt, Nigeria",Nigeria,https://loctech.com,info@loctechng.com,info,Port Harcourt tech training and software firm.,11-50,Indeed,Fullstack Web Developer
30,Lorgarithm,"Lagos, Nigeria",Nigeria,https://www.lorgarithm.com,lorgarithminfo@gmail.com,info,Vetted talentbank SaaS product hiring NestJS/Next.js full-stack engineers.,~3,Indeed,Full Stack Engineer
31,Luster Marketing Agency,"Lagos, Nigeria",Nigeria,,contact@lustermarketing.com,contact,Digital marketing agency helping brands scale online presence with content and campaigns.,5-20,Indeed,Digital Marketing Associate
32,MIST Digital Agency,"Lagos, Nigeria",Nigeria,https://mist.com.ng,info@mist.com.ng; hello@mist.com.ng; hr@mist.com.ng,info / hello / hr,"Small web design, development, SEO, and digital marketing agency.",~3,Indeed,Social Media & Digital Marketing Intern
